group	name	iter	m_wall	p_wall	m_2q	p_2q	m_1q	p_1q	m_depth	p_depth
feynman	test_feynman_transpile[W-state.qasm]	iter_1	0.009065694239889753	0.008330705623000355	10	10	41	41	36	36
feynman	test_feynman_transpile[adder.qasm]	iter_1	0.010140593929947176	0.010143661155150486	94	94	336	336	288	288
feynman	test_feynman_transpile[adder_8.qasm]	iter_1	0.022696340968832374	0.02211002774891399	760	760	2419	2419	994	994
feynman	test_feynman_transpile[barenco_tof_10.qasm]	iter_1	0.016300736468727307	0.016173091701279254	319	319	1149	1149	889	889
feynman	test_feynman_transpile[barenco_tof_3.qasm]	iter_1	0.007875794850167681	0.007876330396024192	36	36	128	128	124	124
feynman	test_feynman_transpile[barenco_tof_4.qasm]	iter_1	0.00852249459973697	0.008511617882262677	78	78	272	272	230	230
feynman	test_feynman_transpile[barenco_tof_5.qasm]	iter_1	0.010018235680704214	0.010039096429329557	119	119	433	433	341	341
feynman	test_feynman_transpile[bigadder.qasm]	iter_1	0.01407334123573759	0.013994581187548845	240	240	807	807	497	497
feynman	test_feynman_transpile[csla_mux_3.qasm]	iter_1	0.011276387775109874	0.011109813331411434	153	153	488	488	246	246
feynman	test_feynman_transpile[csum_mux_9.qasm]	iter_1	0.019224262040741038	0.019026077495744594	411	411	1232	1232	324	324
feynman	test_feynman_transpile[gf2^10_mult.qasm]	iter_1	0.03392663797629731	0.032804080188788214	1804	1804	5164	5164	1786	1786
feynman	test_feynman_transpile[gf2^16_mult.qasm]	iter_1	0.06990722790360451	0.06920373179018498	4690	4690	13283	13283	3600	3600
feynman	test_feynman_transpile[gf2^32_mult.qasm]	iter_1	0.24643903002142906	0.23683105781674385	18246	18246	50984	50984	9183	9183
feynman	test_feynman_transpile[gf2^4_mult.qasm]	iter_1	0.011840416019161542	0.011726540041627822	225	225	687	687	446	446
feynman	test_feynman_transpile[gf2^5_mult.qasm]	iter_1	0.014343671719817555	0.014175099123951415	361	361	1132	1132	608	608
feynman	test_feynman_transpile[gf2^6_mult.qasm]	iter_1	0.01737815936628197	0.017122560812692558	543	543	1639	1639	790	790
feynman	test_feynman_transpile[gf2^7_mult.qasm]	iter_1	0.02066812349949032	0.02036580943968147	785	785	2340	2340	1020	1020
feynman	test_feynman_transpile[gf2^8_mult.qasm]	iter_1	0.02512926897034049	0.0248049147045001	1139	1139	3268	3268	1424	1424
feynman	test_feynman_transpile[gf2^9_mult.qasm]	iter_1	0.02872701087856994	0.02801370548291339	1436	1436	4075	4075	1634	1634
feynman	test_feynman_transpile[grover_5.qasm]	iter_1	0.01709243341314572	0.017087612707506528	470	470	1668	1668	1383	1383
feynman	test_feynman_transpile[ham15-high.qasm]	iter_1	0.07193375738071543	0.07037946781409639	4925	4925	14667	14667	11253	11253
feynman	test_feynman_transpile[ham15-low.qasm]	iter_1	0.018468519848472666	0.018177616568106524	781	781	2156	2156	1207	1207
feynman	test_feynman_transpile[ham15-med.qasm]	iter_1	0.026172231490674772	0.025586990114205923	1220	1220	3699	3699	2684	2684
feynman	test_feynman_transpile[hwb10.qasm]	iter_1	1.5273555722087622	1.1547929681837559	109341	109341	305083	305083	183344	183344
feynman	test_feynman_transpile[hwb11.qasm]	iter_1	5.199240382760763	3.9402236826717854	331684	331684	909866	909866	557210	557210
feynman	test_feynman_transpile[hwb12.qasm]	iter_1	10.69913507066667	8.349799001589417	644148	644148	1765257	1765257	1066858	1066858
feynman	test_feynman_transpile[hwb6.qasm]	iter_1	0.011569640683856878	0.011500368789805994	210	210	717	717	564	564
feynman	test_feynman_transpile[hwb8.qasm]	iter_1	0.2699341834522784	0.2221234802156687	18229	18229	54367	54367	36534	36534
feynman	test_feynman_transpile[inverseqft1.qasm]	iter_1	0.008886797014962543	0.008825072557280917	0	0	40	40	30	30
feynman	test_feynman_transpile[inverseqft2.qasm]	iter_1	0.006099016352117747	0.0060189836008777454	0	0	35	35	22	22
feynman	test_feynman_transpile[mod5_4.qasm]	iter_1	0.008191761807823668	0.007983636885749556	45	45	144	144	154	154
feynman	test_feynman_transpile[mod_adder_1024.qasm]	iter_1	0.06360443599987775	0.06193689082283527	3961	3961	11915	11915	8813	8813
feynman	test_feynman_transpile[mod_mult_55.qasm]	iter_1	0.009079611328031336	0.008923699092119932	85	85	288	288	167	167
feynman	test_feynman_transpile[mod_red_21.qasm]	iter_1	0.011521171866094365	0.011310137622058392	199	199	642	642	511	511
feynman	test_feynman_transpile[qcla_adder_10.qasm]	iter_1	0.025904774763866475	0.025055366372199434	485	485	1547	1547	442	442
feynman	test_feynman_transpile[qcla_com_7.qasm]	iter_1	0.01977095395034435	0.019387852982617915	355	355	1185	1185	334	334
feynman	test_feynman_transpile[qcla_mod_7.qasm]	iter_1	0.025643517478154257	0.025040718651301152	915	915	2730	2730	890	890
feynman	test_feynman_transpile[qec.qasm]	iter_1	0.0065063028744641385	0.006434550893212121	4	4	20	20	14	14
feynman	test_feynman_transpile[qft.qasm]	iter_1	0.0069217512866965045	0.006853148367413333	16	16	65	65	61	61
feynman	test_feynman_transpile[qft_4.qasm]	iter_1	0.009880420956760646	0.008948433961320137	83	83	269	269	243	243
feynman	test_feynman_transpile[qpt.qasm]	iter_1	0.0028136268417750087	0.0027907432763484017	0	0	6	6	4	4
feynman	test_feynman_transpile[rb.qasm]	iter_1	0.003433583343916751	0.0027817458969851337	2	2	12	12	9	9
feynman	test_feynman_transpile[rc_adder_6.qasm]	iter_1	0.011551634940717901	0.011503611794776387	157	157	507	507	320	320
feynman	test_feynman_transpile[teleport.qasm]	iter_1	0.005774058075876184	0.005790663283993626	2	2	27	27	17	17
feynman	test_feynman_transpile[teleportv2.qasm]	iter_1	0.006631469604774163	0.0067164133439158525	2	2	28	28	18	18
feynman	test_feynman_transpile[tof_10.qasm]	iter_1	0.013363879484434923	0.013367245931710516	145	145	572	572	473	473
feynman	test_feynman_transpile[tof_3.qasm]	iter_1	0.007808300573378802	0.007867274485284188	24	24	94	94	84	84
feynman	test_feynman_transpile[tof_4.qasm]	iter_1	0.00812480775149245	0.008160210879785674	41	41	165	165	146	146
feynman	test_feynman_transpile[tof_5.qasm]	iter_1	0.008739701377512035	0.008799628568215107	58	58	232	232	194	194
feynman	test_feynman_transpile[vbe_adder_3.qasm]	iter_1	0.01014263949059334	0.010200092782421658	98	98	327	327	245	245
device_hamiltonians	test_hamlib_hamiltonians_transpile[ham_enc_stdbinary_dvalues_d-level-4]	iter_1	0.012000186368823051	0.011943352541753225	3	3	27	27	19	19
device_hamiltonians	test_hamlib_hamiltonians_transpile[ham_mu_y_prime_enc_stdbinary_dvalues_8-8-4-4]	iter_1	0.008123493844234362	0.008079924218264627	18	18	93	93	72	72
device_hamiltonians	test_hamlib_hamiltonians_transpile[ham_mu_y_prime_enc_unary_dvalues_4-4-4]	iter_1	0.004680232395159516	0.004640349956680106	6	6	52	52	32	32
device_hamiltonians	test_hamlib_hamiltonians_transpile[ham_mu_z_prime_enc_gray_dvalues_4-4-4-4]	iter_1	0.005731925860131055	0.005694122430397554	4	4	33	33	11	11
device_hamiltonians	test_hamlib_hamiltonians_transpile[ham_gnp-k_2_n-4_rinst-05]	iter_1	0.008756861194140382	0.007678124234080315	22	22	97	97	83	83
device_hamiltonians	test_hamlib_hamiltonians_transpile[ham_ham_parity-4]	iter_1	0.009168926073790907	0.009070930692056814	62	62	207	207	194	194
device_hamiltonians	test_hamlib_hamiltonians_transpile[ham_mu_y_prime_enc_stdbinary_dvalues_16-16-16-16-8-8-8]	iter_1	0.009759558278515382	0.009423221969469027	72	72	255	255	209	209
device_hamiltonians	test_hamlib_hamiltonians_transpile[ham_mu_y_prime_enc_gray_dvalues_16-16-16]	iter_1	0.010229387377597848	0.009197866442528638	92	92	314	314	269	269
device_hamiltonians	test_hamlib_hamiltonians_transpile[ham_enc_gray_dvalues_d-level-16]	iter_1	0.013512439311367192	0.013309202118687434	196	196	804	804	646	646
device_hamiltonians	test_hamlib_hamiltonians_transpile[ham_mu_y_prime_enc_stdbinary_dvalues_8-8-8-8-8-8]	iter_1	0.01426319656611392	0.013187163164966728	36	36	186	186	72	72
device_hamiltonians	test_hamlib_hamiltonians_transpile[ham_gnp-k_4_n-6_rinst-15]	iter_1	0.01084359557751347	0.00974321669827287	136	136	454	454	404	404
device_hamiltonians	test_hamlib_hamiltonians_transpile[ham_ham_JW-6]	iter_1	0.015533030004007742	0.013649995219619834	351	351	1168	1168	1015	1015
device_hamiltonians	test_hamlib_hamiltonians_transpile[ham_mu_y_prime_enc_unary_dvalues_8-8-8-8-8-8-8]	iter_1	0.006175710156170371	0.006117994182863119	14	14	120	120	72	72
device_hamiltonians	test_hamlib_hamiltonians_transpile[ham_7-uf20-0384.cnf-8-res]	iter_1	0.008491923702897223	0.008497952643009994	78	78	248	248	160	160
device_hamiltonians	test_hamlib_hamiltonians_transpile[ham_tsp_rand-002_Ncity-4_enc-stdbinary]	iter_1	0.010126392245292664	0.01006295516936466	137	137	460	460	330	330
device_hamiltonians	test_hamlib_hamiltonians_transpile[ham_ham_JW-8]	iter_1	0.03322455712727138	0.031956642183164755	1374	1374	4196	4196	3566	3566
device_hamiltonians	test_hamlib_hamiltonians_transpile[ham_enc_gray_dvalues_8-8-8]	iter_1	0.4320171984533469	0.4131976179778576	12551	12551	36713	36713	31460	31460
device_hamiltonians	test_hamlib_hamiltonians_transpile[ham_complbipart-n-10_a-5_b-5]	iter_1	0.014297335700535062	0.012565387568126122	287	287	955	955	685	685
device_hamiltonians	test_hamlib_hamiltonians_transpile[ham_ham_JW10]	iter_1	0.07305458813373532	0.06549686647485942	2407	2407	7030	7030	6344	6344
device_hamiltonians	test_hamlib_hamiltonians_transpile[ham_ham_parity10]	iter_1	0.07052435340980688	0.06545297515889009	2440	2440	7107	7107	6634	6634
device_hamiltonians	test_hamlib_hamiltonians_transpile[ham_ham_JW-10]	iter_1	0.07229547508593116	0.062069047023268306	2407	2407	7031	7031	6341	6341
device_hamiltonians	test_hamlib_hamiltonians_transpile[ham_mu_x_prime_enc_stdbinary_dvalues_8-8-8-8-8-8-8-8-8-4-4-4-4-4-4]	iter_1	0.028016658765929087	0.027839373632827225	56	56	295	295	73	73
device_hamiltonians	test_hamlib_hamiltonians_transpile[ham_mu_x_prime_enc_unary_dvalues_4-4-4]	iter_1	0.01018870122871309	0.010162632586886582	18	18	156	156	32	32
device_hamiltonians	test_hamlib_hamiltonians_transpile[ham_ham_parity12]	iter_1	0.16849979075292745	0.15048897399434022	4740	4740	13855	13855	13321	13321
device_hamiltonians	test_hamlib_hamiltonians_transpile[ham_ham_BK12]	iter_1	0.12975703878328204	0.12170580381320582	7063	7063	20486	20486	15320	15320
device_hamiltonians	test_hamlib_hamiltonians_transpile[ham_ham_JW12]	iter_1	0.16841101801643768	0.14584102827523435	4630	4630	13241	13241	12371	12371
device_hamiltonians	test_hamlib_hamiltonians_transpile[ham_bh_graph-1D-grid-pbc-qubitnodes_Lx-4_U-40_enc-gray_d-8]	iter_1	0.09797914363443852	0.09347406791692431	4158	4158	14759	14759	12684	12684
device_hamiltonians	test_hamlib_hamiltonians_transpile[ham_enc_unary_dvalues_4-4-4]	iter_1	0.2210379045456648	0.21099263578653335	12070	12070	39001	39001	27916	27916
device_hamiltonians	test_hamlib_hamiltonians_transpile[ham_ham_parity-14]	iter_1	0.17986534163355827	0.15472608299127646	7159	7159	20541	20541	17017	17017
device_hamiltonians	test_hamlib_hamiltonians_transpile[ham_ham_JW14]	iter_1	0.20969609767198563	0.19180371767530838	6267	6267	17022	17022	15625	15625
device_hamiltonians	test_hamlib_hamiltonians_transpile[ham_enc_gray_dvalues_4-4-4-4-4-4-4]	iter_1	0.08310239461178963	0.08198255601410682	3667	3667	11853	11853	9385	9385
device_hamiltonians	test_hamlib_hamiltonians_transpile[ham_ham_BK-14]	iter_1	0.3167403438128531	0.29837938118726015	15524	15524	43160	43160	34192	34192
device_hamiltonians	test_hamlib_hamiltonians_transpile[ham_ham_JW-14]	iter_1	0.3486957897742589	0.3208570317365229	12221	12221	33583	33583	30474	30474
device_hamiltonians	test_hamlib_hamiltonians_transpile[ham_mu_z_prime_enc_unary_dvalues_16-16-16-16-16-16-16]	iter_1	0.009747516646078138	0.009656226654586039	30	30	256	256	152	152
device_hamiltonians	test_hamlib_hamiltonians_transpile[ham_graph-1D-grid-pbc-qubitnodes_Lx-16_h-2]	iter_1	0.02526166392046781	0.02521963461878754	71	71	236	236	170	170
device_hamiltonians	test_hamlib_hamiltonians_transpile[ham_ham_JW-18]	iter_1	0.9622238390147686	0.889880939386785	37239	37239	98291	98291	88794	88794
device_hamiltonians	test_hamlib_hamiltonians_transpile[ham_ham_JW-22]	iter_1	4.007603637874126	3.7198229152709246	110022	110022	292583	292583	268040	268040
device_hamiltonians	test_hamlib_hamiltonians_transpile[ham_ham_BK22]	iter_1	3.329944984987378	3.025254363194108	135268	135268	367012	367012	279934	279934
device_hamiltonians	test_hamlib_hamiltonians_transpile[ham_mu_y_prime_enc_stdbinary_dvalues_4-4-4-4-4-4-4-4-4-4-4-4-4-4-4-4-4-4]	iter_1	0.0120272699277848	0.010974872757991154	24	24	240	240	13	13
device_hamiltonians	test_hamlib_hamiltonians_transpile[ham_gnp-k_5_n-24_rinst-04]	iter_1	0.022379315034909683	0.02201507007703185	1007	1007	2861	2861	884	884
device_hamiltonians	test_hamlib_hamiltonians_transpile[ham_tsp_prob-ulysses22_Ncity-8_enc-stdbinary]	iter_1	0.03770442529080006	0.036505178858836494	1864	1864	5999	5999	4253	4253
device_hamiltonians	test_hamlib_hamiltonians_transpile[ham_ham_JW24]	iter_1	9.301972342655063	7.716718310490251	187285	187285	504449	504449	447466	447466
device_hamiltonians	test_hamlib_hamiltonians_transpile[ham_tsp_prob-ts225_Ncity-5_enc-unary]	iter_1	0.01717125741695916	0.016896820454685775	474	474	1431	1431	407	407
device_hamiltonians	test_hamlib_hamiltonians_transpile[ham_graph-1D-grid-pbc-qubitnodes_Lx-26_h-6]	iter_1	0.21788015998899937	0.21479212157428265	109	109	358	358	275	275
device_hamiltonians	test_hamlib_hamiltonians_transpile[ham_bh_graph-1D-grid-pbc-qubitnodes_Lx-14_U-10_enc-stdbinary_d-4]	iter_1	0.0440135524486718	0.044570346646334816	1067	1067	3868	3868	3048	3048
device_hamiltonians	test_hamlib_hamiltonians_transpile[ham_bh_graph-2D-triag-nonpbc-qubitnodes_Lx-3_Ly-5_U-30_enc-gray_d-4]	iter_1	0.07861101183180626	0.06482972751837224	3707	3707	11982	11982	9233	9233
device_hamiltonians	test_hamlib_hamiltonians_transpile[ham_reg-5_n-10_rinst-07]	iter_1	0.09030997566878796	0.08467970788478851	6155	6155	19169	19169	11185	11185
device_hamiltonians	test_hamlib_hamiltonians_transpile[ham_mu_y_prime_enc_unary_dvalues_16-16-16-16-16-16]	iter_1	0.012359937970958105	0.012153447419404984	60	60	512	512	152	152
device_hamiltonians	test_hamlib_hamiltonians_transpile[ham_bh_graph-3D-grid-nonpbc-qubitnodes_Lx-2_Ly-2_Lz-2_U-20_enc-unary_d-4]	iter_1	0.1008935084566474	0.08533908069754641	5201	5201	15785	15785	12696	12696
device_hamiltonians	test_hamlib_hamiltonians_transpile[ham_0-uuf100-0810.cnf-40-res]	iter_1	0.02985758881903056	0.02883447499738799	1341	1341	3452	3452	1176	1176
device_hamiltonians	test_hamlib_hamiltonians_transpile[ham_8-uuf100-0509.cnf-40-cc]	iter_1	0.03215844449446057	0.02994375287422112	1546	1546	4016	4016	1330	1330
device_hamiltonians	test_hamlib_hamiltonians_transpile[ham_gnp-k_4_n-40_rinst-07]	iter_1	0.08057767944410443	0.0674034836391608	6028	6028	16665	16665	9916	9916
device_hamiltonians	test_hamlib_hamiltonians_transpile[ham_2-uf100-0396.cnf-46-res]	iter_1	0.03442476972423751	0.033538485566775	2213	2213	5581	5581	1712	1712
device_hamiltonians	test_hamlib_hamiltonians_transpile[ham_2-uf100-0601.cnf-46-res]	iter_1	0.03691549379644649	0.035798537648386426	2511	2511	6241	6241	1913	1913
device_hamiltonians	test_hamlib_hamiltonians_transpile[ham_bh_graph-1D-grid-nonpbc-qubitnodes_Lx-12_U-40_enc-unary_d-4]	iter_1	0.09662957303225994	0.0844365581870079	4545	4545	14328	14328	11704	11704
device_hamiltonians	test_hamlib_hamiltonians_transpile[ham_bh_graph-1D-grid-pbc-qubitnodes_Lx-24_U-20_enc-stdbinary_d-4]	iter_1	0.07572577201894351	0.07356612371014697	1781	1781	6629	6629	5182	5182
device_hamiltonians	test_hamlib_hamiltonians_transpile[ham_tsp_prob-lin105_Ncity-7_enc-unary]	iter_1	0.03373439727971951	0.03294737136055683	1650	1650	4769	4769	1212	1212
device_hamiltonians	test_hamlib_hamiltonians_transpile[ham_gnp-k_5_n-60_rinst-19]	iter_1	0.18956200703978537	0.1611955759248563	16063	16063	44641	44641	27012	27012
device_hamiltonians	test_hamlib_hamiltonians_transpile[ham_bh_graph-2D-triag-pbc-qubitnodes_Lx-5_Ly-5_U-30_enc-unary_d-4]	iter_1	0.3538625066479047	0.29985800571739674	21933	21933	65331	65331	48769	48769
device_hamiltonians	test_hamlib_hamiltonians_transpile[ham_mu_x_prime_enc_unary_dvalues_16-16-16-16-16-16-16-16-16-16-16-16-16-16-16]	iter_1	0.015886845557313217	0.015779165861507256	120	120	1024	1024	152	152
device_hamiltonians	test_hamlib_hamiltonians_transpile[ham_tsp_prob-d198_Ncity-8_enc-unary]	iter_1	0.047305119968950746	0.04562787262892181	2679	2679	7619	7619	1811	1811
device_hamiltonians	test_hamlib_hamiltonians_transpile[ham_tsp_prob-kroD100_Ncity-16_enc-stdbinary]	iter_1	0.3295491859316826	0.27689174143597484	19013	19013	58716	58716	41423	41423
device_hamiltonians	test_hamlib_hamiltonians_transpile[ham_tsp_prob-fl417_Ncity-16_enc-stdbinary]	iter_1	0.3289001449011266	0.27390820160508156	19015	19015	58515	58515	41292	41292
device_hamiltonians	test_hamlib_hamiltonians_transpile[ham_4-uf100-0246.cnf-70-res]	iter_1	0.08656306141479449	0.08280817590033014	8566	8566	20532	20532	6347	6347
device_hamiltonians	test_hamlib_hamiltonians_transpile[ham_dsjc1000.1,n-36,rinst-4]	iter_1	0.06213045085314661	0.06084654721267083	3912	3912	11333	11333	4110	4110
device_hamiltonians	test_hamlib_hamiltonians_transpile[ham_graph-2D-grid-nonpbc-qubitnodes_Lx-5_Ly-15_h-3]	iter_1	0.04290843769907951	0.04177103463249902	1027	1027	2864	2864	815	815
device_hamiltonians	test_hamlib_hamiltonians_transpile[ham_bh_graph-1D-grid-pbc-qubitnodes_Lx-10_U-30_enc-unary_d-8]	iter_1	0.38985713322957355	0.33143857680261135	23507	23507	73386	73386	58257	58257
device_hamiltonians	test_hamlib_hamiltonians_transpile[ham_4-flat100-7.cnf-90-cc]	iter_1	0.03241129536181688	0.03237142122040192	1166	1166	2923	2923	473	473
device_hamiltonians	test_hamlib_hamiltonians_transpile[ham_reg-4_n-90_rinst-07]	iter_1	0.07056675265942301	0.0628461035735467	3830	3830	10497	10497	2032	2032
device_hamiltonians	test_hamlib_hamiltonians_transpile[ham_gnp-k_5_n-90_rinst-02]	iter_1	0.3054391127079725	0.24280415028333663	29444	29444	78077	78077	43612	43612
device_hamiltonians	test_hamlib_hamiltonians_transpile[ham_graph-2D-triag-pbc-qubitnodes_Lx-13_Ly-13_h-0.1]	iter_1	0.04088446840643883	0.040185870379209516	2556	2556	6498	6498	1780	1780
device_hamiltonians	test_hamlib_hamiltonians_transpile[ham_bh_graph-1D-grid-pbc-qubitnodes_Lx-46_U-2_enc-gray_d-4]	iter_1	0.1257186031434685	0.12370271678082645	5367	5367	18852	18852	15475	15475
device_hamiltonians	test_hamlib_hamiltonians_transpile[ham_bh_graph-2D-grid-nonpbc-qubitnodes_Lx-7_Ly-7_U-70_enc-gray_d-4]	iter_1	0.22593144215643407	0.19186973789085945	14411	14411	42744	42744	32706	32706
device_hamiltonians	test_hamlib_hamiltonians_transpile[ham_fh-graph-1D-grid-pbc-qubitnodes_Lx-50_U-2_enc-jw]	iter_1	0.05284831114113331	0.044485955837775364	3224	3224	8870	8870	5709	5709
device_hamiltonians	test_hamlib_hamiltonians_transpile[ham_tsp_prob-st70_Ncity-10_enc-unary]	iter_1	0.0830858892832811	0.08177145756781101	5220	5220	15244	15244	2879	2879
device_hamiltonians	test_hamlib_hamiltonians_transpile[ham_tsp_prob-pr76_Ncity-10_enc-unary]	iter_1	0.08351250505074859	0.08376455622223708	5220	5220	15151	15151	2854	2854
device_hamiltonians	test_hamlib_hamiltonians_transpile[ham_bh_graph-2D-triag-pbc-qubitnodes_Lx-10_Ly-10_U-30_enc-stdbinary_d-4]	iter_1	0.32025870215147734	0.3079727301374078	21309	21309	61614	61614	44190	44190
device_hamiltonians	test_hamlib_hamiltonians_transpile[ham_queen13_13,n-28,rinst-0]	iter_1	0.056943738005227514	0.05567080299887392	2343	2343	6164	6164	594	594
device_hamiltonians	test_hamlib_hamiltonians_transpile[ham_will199gpia,n-60,rinst-8]	iter_1	0.11888708546757698	0.11619025344649951	9510	9510	26876	26876	9578	9578
device_hamiltonians	test_hamlib_hamiltonians_transpile[ham_bh_graph-1D-grid-pbc-qubitnodes_Lx-60_U-10_enc-stdbinary_d-4]	iter_1	0.12705885828472674	0.12219430940846603	4488	4488	16408	16408	12751	12751
device_hamiltonians	test_hamlib_hamiltonians_transpile[ham_bh_graph-2D-triag-pbc-qubitnodes_Lx-3_Ly-22_U-70_enc-unary_d-4]	iter_1	0.7699702186509967	0.6580224791541696	52899	52899	154509	154509	110189	110189
abstract_small	test_QASMBench_small[adder_n10-all-to-all]	iter_1	0.009546755675653943	0.009236761628360044	65	65	247	247	200	200
abstract_small	test_QASMBench_small[adder_n10-square]	iter_1	0.007384782827769717	0.007356796479016019	91	91	360	360	274	274
abstract_small	test_QASMBench_small[adder_n10-heavy-hex]	iter_1	0.007477092225167711	0.007419588429660633	105	105	385	385	334	334
abstract_small	test_QASMBench_small[adder_n10-linear]	iter_1	0.0072965613316471984	0.007309560358646463	94	94	358	358	300	300
abstract_small	test_QASMBench_small[adder_n4-all-to-all]	iter_1	0.002136201341892337	0.002104649746804747	10	10	44	44	23	23
abstract_small	test_QASMBench_small[adder_n4-square]	iter_1	0.0021453345524599567	0.002083405285236149	10	10	44	44	23	23
abstract_small	test_QASMBench_small[adder_n4-heavy-hex]	iter_1	0.004453596100211144	0.004381409136896924	16	16	63	63	33	33
abstract_small	test_QASMBench_small[adder_n4-linear]	iter_1	0.0037289785599350033	0.0036773416452963834	16	16	70	70	39	39
abstract_small	test_QASMBench_small[basis_change_n3-all-to-all]	iter_1	0.0020953464367381345	0.0020516450321364887	10	10	86	86	54	54
abstract_small	test_QASMBench_small[basis_change_n3-square]	iter_1	0.002152950168502602	0.002072962380088536	10	10	86	86	54	54
abstract_small	test_QASMBench_small[basis_change_n3-heavy-hex]	iter_1	0.002910330845759465	0.0028380354359426995	10	10	86	86	54	54
abstract_small	test_QASMBench_small[basis_change_n3-linear]	iter_1	0.0020826241808346887	0.002041193903626307	10	10	86	86	54	54
abstract_small	test_QASMBench_small[basis_test_n4-all-to-all]	iter_1	0.001963198184967041	0.0019387050695922976	6	6	48	48	19	19
abstract_small	test_QASMBench_small[basis_test_n4-square]	iter_1	0.0019022427094032574	0.0018911505270213004	6	6	50	50	20	20
abstract_small	test_QASMBench_small[basis_test_n4-heavy-hex]	iter_1	0.0028087116221374854	0.002785789967653738	6	6	50	50	20	20
abstract_small	test_QASMBench_small[basis_test_n4-linear]	iter_1	0.0020967920808571167	0.0019894019918032155	6	6	50	50	20	20
abstract_small	test_QASMBench_small[basis_trotter_n4-all-to-all]	iter_1	0.009952855899053462	0.008720837859916933	179	179	973	973	493	493
abstract_small	test_QASMBench_small[basis_trotter_n4-square]	iter_1	0.011638731864022922	0.010336049982616979	207	207	1081	1081	513	513
abstract_small	test_QASMBench_small[basis_trotter_n4-heavy-hex]	iter_1	0.013311912518526826	0.011645552313214616	268	268	1261	1261	956	956
abstract_small	test_QASMBench_small[basis_trotter_n4-linear]	iter_1	0.012047437031143977	0.010670344147117847	229	229	1171	1171	625	625
abstract_small	test_QASMBench_small[bb84_n8-all-to-all]	iter_1	0.0016463073287793773	0.0012063519890340236	0	0	39	39	8	8
abstract_small	test_QASMBench_small[bb84_n8-square]	iter_1	0.001653153324658986	0.0011990585716793666	0	0	39	39	8	8
abstract_small	test_QASMBench_small[bb84_n8-heavy-hex]	iter_1	0.002159613966590391	0.0014727722325833556	0	0	39	39	8	8
abstract_small	test_QASMBench_small[bb84_n8-linear]	iter_1	0.0014843492721349507	0.001136469773270867	0	0	39	39	8	8
abstract_small	test_QASMBench_small[bell_n4-all-to-all]	iter_1	0.002263530980645105	0.0019503109148915922	5	5	38	38	14	14
abstract_small	test_QASMBench_small[bell_n4-square]	iter_1	0.0019916889961353523	0.001994010925825153	5	5	42	42	17	17
abstract_small	test_QASMBench_small[bell_n4-heavy-hex]	iter_1	0.003433051639377411	0.002743544198203365	5	5	39	39	17	17
abstract_small	test_QASMBench_small[bell_n4-linear]	iter_1	0.002394941887712177	0.0019753291582067806	5	5	39	39	15	15
abstract_small	test_QASMBench_small[cat_state_n4-all-to-all]	iter_1	0.001412956464675165	0.0013474881820953809	3	3	22	22	13	13
abstract_small	test_QASMBench_small[cat_state_n4-square]	iter_1	0.0013884920257193443	0.0013199232238217849	3	3	22	22	13	13
abstract_small	test_QASMBench_small[cat_state_n4-heavy-hex]	iter_1	0.0021243412841232797	0.0020572230792962587	3	3	22	22	13	13
abstract_small	test_QASMBench_small[cat_state_n4-linear]	iter_1	0.0012602515292730924	0.0013098023838042816	3	3	22	22	13	13
abstract_small	test_QASMBench_small[deutsch_n2-all-to-all]	iter_1	0.0009599680822618582	0.0009405561276441495	1	1	11	11	8	8
abstract_small	test_QASMBench_small[deutsch_n2-square]	iter_1	0.0011327656741343842	0.0011075685214399526	1	1	11	11	8	8
abstract_small	test_QASMBench_small[deutsch_n2-heavy-hex]	iter_1	0.001819430068316101	0.0017688162238795524	1	1	11	11	8	8
abstract_small	test_QASMBench_small[deutsch_n2-linear]	iter_1	0.0009793647233097033	0.0008764320027005833	1	1	11	11	8	8
abstract_small	test_QASMBench_small[dnn_n2-all-to-all]	iter_1	0.0013004150598231751	0.0011450957847694493	3	3	31	31	20	20
abstract_small	test_QASMBench_small[dnn_n2-square]	iter_1	0.0013892443039628308	0.0012933629052885344	3	3	31	31	20	20
abstract_small	test_QASMBench_small[dnn_n2-heavy-hex]	iter_1	0.0020865294524930657	0.0020308854940256716	3	3	31	31	20	20
abstract_small	test_QASMBench_small[dnn_n2-linear]	iter_1	0.0012377090444249555	0.0012078445707299527	3	3	31	31	20	20
abstract_small	test_QASMBench_small[dnn_n8-all-to-all]	iter_1	0.007089658342819247	0.006863884696805918	64	64	444	444	80	80
abstract_small	test_QASMBench_small[dnn_n8-square]	iter_1	0.004986599712124603	0.004859660877972035	64	64	442	442	80	80
abstract_small	test_QASMBench_small[dnn_n8-heavy-hex]	iter_1	0.00725244448448603	0.007111755207180977	94	94	521	521	112	112
abstract_small	test_QASMBench_small[dnn_n8-linear]	iter_1	0.007890553932970132	0.006873264163732529	109	109	596	596	124	124
abstract_small	test_QASMBench_small[error_correctiond3_n5-all-to-all]	iter_1	0.003675180476547208	0.0036247484089131374	35	35	116	116	102	102
abstract_small	test_QASMBench_small[error_correctiond3_n5-square]	iter_1	0.005160505200425784	0.005096913425204082	38	38	133	133	98	98
abstract_small	test_QASMBench_small[error_correctiond3_n5-heavy-hex]	iter_1	0.005288012043544741	0.00526366013984539	44	44	133	133	110	110
