abstract_small	qft_n4-all-to-all	3
abstract_small	qft_n4-square	3
abstract_small	qft_n4-heavy-hex	3
abstract_small	qft_n4-linear	3
abstract_small	qpe_n9-all-to-all	3
abstract_small	qpe_n9-square	3
abstract_small	qpe_n9-heavy-hex	3
abstract_small	qpe_n9-linear	3
abstract_small	qrng_n4-all-to-all	2
abstract_small	qrng_n4-square	2
abstract_small	qrng_n4-heavy-hex	2
abstract_small	qrng_n4-linear	2
abstract_small	quantumwalks_n2-all-to-all	3
abstract_small	quantumwalks_n2-square	3
abstract_small	quantumwalks_n2-heavy-hex	3
abstract_small	quantumwalks_n2-linear	3
abstract_small	sat_n7-all-to-all	3
abstract_small	sat_n7-square	3
abstract_small	sat_n7-heavy-hex	3
abstract_small	sat_n7-linear	3
abstract_small	shor_n5-all-to-all	4
abstract_small	shor_n5-square	3
abstract_small	shor_n5-heavy-hex	3
abstract_small	shor_n5-linear	3
abstract_small	simon_n6-all-to-all	3
abstract_small	simon_n6-square	3
abstract_small	simon_n6-heavy-hex	3
abstract_small	simon_n6-linear	3
abstract_small	teleportation_n3-all-to-all	3
abstract_small	teleportation_n3-square	3
abstract_small	teleportation_n3-heavy-hex	3
abstract_small	teleportation_n3-linear	3
abstract_small	toffoli_n3-all-to-all	3
abstract_small	toffoli_n3-square	3
abstract_small	toffoli_n3-heavy-hex	3
abstract_small	toffoli_n3-linear	3
abstract_small	variational_n4-all-to-all	3
abstract_small	variational_n4-square	3
abstract_small	variational_n4-heavy-hex	3
abstract_small	variational_n4-linear	3
abstract_small	vqe_n4-all-to-all	3
abstract_small	vqe_n4-square	3
abstract_small	vqe_n4-heavy-hex	3
abstract_small	vqe_n4-linear	3
abstract_small	vqe_uccsd_n4-all-to-all	3
abstract_small	vqe_uccsd_n4-square	3
abstract_small	vqe_uccsd_n4-heavy-hex	3
abstract_small	vqe_uccsd_n4-linear	3
abstract_small	vqe_uccsd_n6-all-to-all	3
abstract_small	vqe_uccsd_n6-square	3
abstract_small	vqe_uccsd_n6-heavy-hex	3
abstract_small	vqe_uccsd_n6-linear	3
abstract_small	vqe_uccsd_n8-all-to-all	3
abstract_small	vqe_uccsd_n8-square	3
abstract_small	vqe_uccsd_n8-heavy-hex	3
abstract_small	vqe_uccsd_n8-linear	3
abstract_small	wstate_n3-all-to-all	2
abstract_small	wstate_n3-square	3
abstract_small	wstate_n3-heavy-hex	3
abstract_small	wstate_n3-linear	3
abstract_medium	bigadder_n18-all-to-all	3
abstract_medium	bigadder_n18-square	3
abstract_medium	bigadder_n18-heavy-hex	3
abstract_medium	bigadder_n18-linear	3
abstract_medium	bv_n14-all-to-all	3
abstract_medium	bv_n14-square	3
abstract_medium	bv_n14-heavy-hex	3
abstract_medium	bv_n14-linear	3
abstract_medium	bv_n19-all-to-all	3
abstract_medium	bv_n19-square	3
abstract_medium	bv_n19-heavy-hex	3
abstract_medium	bv_n19-linear	3
abstract_medium	bwt_n21-all-to-all	3
abstract_medium	bwt_n21-square	4
abstract_medium	bwt_n21-heavy-hex	4
abstract_medium	bwt_n21-linear	3
abstract_medium	cat_state_n22-all-to-all	3
abstract_medium	cat_state_n22-square	3
abstract_medium	cat_state_n22-heavy-hex	3
abstract_medium	cat_state_n22-linear	3
abstract_medium	cc_n12-all-to-all	3
abstract_medium	cc_n12-square	3
abstract_medium	cc_n12-heavy-hex	3
abstract_medium	cc_n12-linear	3
abstract_medium	dnn_n16-all-to-all	3
abstract_medium	dnn_n16-square	3
abstract_medium	dnn_n16-heavy-hex	3
abstract_medium	dnn_n16-linear	3
abstract_medium	factor247_n15-all-to-all	3
abstract_medium	factor247_n15-square	3
abstract_medium	factor247_n15-heavy-hex	3
abstract_medium	factor247_n15-linear	3
abstract_medium	gcm_h6-all-to-all	3
abstract_medium	gcm_h6-square	3
abstract_medium	gcm_h6-heavy-hex	3
abstract_medium	gcm_h6-linear	3
abstract_medium	ghz_state_n23-all-to-all	3
abstract_medium	ghz_state_n23-square	3
abstract_medium	ghz_state_n23-heavy-hex	3
abstract_medium	ghz_state_n23-linear	3
abstract_medium	ising_n26-all-to-all	3
abstract_medium	ising_n26-square	3
abstract_medium	ising_n26-heavy-hex	3
abstract_medium	ising_n26-linear	3
abstract_medium	knn_n25-all-to-all	3
abstract_medium	knn_n25-square	3
abstract_medium	knn_n25-heavy-hex	3
abstract_medium	knn_n25-linear	3
abstract_medium	multiplier_n15-all-to-all	3
abstract_medium	multiplier_n15-square	3
abstract_medium	multiplier_n15-heavy-hex	3
abstract_medium	multiplier_n15-linear	3
abstract_medium	multiply_n13-all-to-all	3
abstract_medium	multiply_n13-square	3
abstract_medium	multiply_n13-heavy-hex	3
abstract_medium	multiply_n13-linear	3
